Druck oben [mbar],∆Druck oben [mbar],Druck unten [mbar],∆Druck unten [mbar],Bemerkung
3.7E-04,1E-05,1.4E-05,1E-06,Pumpen bei 1500 Hz
4.9E-04,1E-05,1.5E-05,1E-06,
7.3E-04,1E-05,1.5E-05,1E-06,
1.0E-03,1E-04,1.6E-05,1E-06,
2.5E-03,1E-04,2E-05,1E-06,
5.2E-03,1E-04,2.7E-05,1E-06,
7.7E-03,1E-04,3.4E-05,1E-06,
1.1E-02,1E-03,4.1E-05,1E-06,
2.6E-02,1E-03,8.6E-05,1E-06,
5.1E-02,1E-03,1.7E-04,1E-05,
7.4E-02,1E-03,2.7E-04,1E-05,
1E-01,1E-02,4.9E-04,1E-05,
2.5E-01,1E-02,2E-03,1E-04,
5.1E-01,1E-02,6.5E-03,1E-04,
7.6E-01,1E-02,1.3E-02,1E-03,
1,1E-01,2.3E-02,1E-03,Pumpe sinkt