Druck oben [mbar],âˆ†Druck oben [mbar],Druck unten [mbar],âˆ†Druck unten [mbar],Bemerkung
3.6E-04,1E-05,1.2E-05,1E-06,
5.5E-04,1E-05,1.2E-05,1E-06,
7.6E-04,1E-05,1.3E-05,1E-06,
1.0E-03,1E-04,1.4E-05,1E-06,
2.4E-03,1E-04,1.8E-05,1E-06,
5.0E-03,1E-04,2.7E-05,1E-06,
7.7E-03,1E-04,3.7E-05,1E-06,
1.1E-02,1E-03,4.8E-05,1E-06,
2.7E-02,1E-03,1.1E-04,1E-05,
5.0E-02,1E-03,2.1E-04,1E-05,
7.5E-02,1E-03,2.5E-04,1E-05,
1E-01,1E-02,6.6E-04,1E-05,
2.5E-01,1E-02,2.9E-03,1E-04,
5.2E-01,1E-02,1.1E-02,1E-03,
7.5E-01,1E-02,2.5E-02,1E-03,
1.1,1E-01,6.3E-02,1E-03,
